0,1,4
0,2,6
0,3,6
0,4,6
0,5,8
0,6,8
0,7,10
0,8,12
0,9,8
0,10,8
0,11,10
0,12,10
0,13,10
0,14,12
0,15,12
0,16,14
0,17,8
0,18,10
0,19,12
0,20,10
0,21,12
0,22,14
0,23,12
0,24,14
0,25,16
0,26,14
0,27,16
0,28,18
0,29,20
1,0,2
1,2,12
1,3,12
1,4,10
1,5,18
1,6,16
1,7,26
1,8,36
1,9,20
1,10,16
1,11,26
1,12,22
1,13,24
1,14,34
1,15,30
1,16,44
1,17,14
1,18,22
1,19,32
1,20,20
1,21,30
1,22,42
1,23,32
1,24,44
1,25,54
1,26,40
1,27,52
1,28,66
1,29,80
2,0,0
2,1,0
2,3,0
2,4,0
2,5,6
2,6,0
2,7,12
2,8,24
2,9,0
2,10,0
2,11,6
2,12,0
2,13,6
2,14,12
2,15,0
2,16,18
2,17,0
2,18,6
2,19,12
2,20,0
2,21,6
2,22,18
2,23,12
2,24,24
2,25,30
2,26,12
2,27,24
2,28,42
2,29,60
3,0,2
3,1,10
3,2,24
3,4,18
3,5,44
3,6,32
3,7,70
3,8,108
3,9,68
3,10,38
3,11,82
3,12,52
3,13,64
3,14,108
3,15,78
3,16,152
3,17,26
3,18,52
3,19,96
3,20,40
3,21,78
3,22,134
3,23,90
3,24,146
3,25,190
3,26,116
3,27,172
3,28,246
3,29,320
4,0,2
4,1,8
4,2,24
4,3,18
4,5,38
4,6,32
4,7,66
4,8,108
4,9,32
4,10,28
4,11,56
4,12,46
4,13,54
4,14,88
4,15,72
4,16,128
4,17,24
4,18,48
4,19,80
4,20,40
4,21,74
4,22,122
4,23,84
4,24,134
4,25,178
4,26,114
4,27,168
4,28,240
4,29,320
5,0,0
5,1,0
5,2,12
5,3,0
5,4,0
5,6,0
5,7,32
5,8,72
5,9,0
5,10,0
5,11,16
5,12,0
5,13,16
5,14,36
5,15,0
5,16,60
5,17,0
5,18,14
5,19,32
5,20,0
5,21,16
5,22,56
5,23,34
5,24,78
5,25,104
5,26,36
5,27,80
5,28,156
5,29,240
6,0,2
6,1,8
6,2,18
6,3,18
6,4,14
6,5,28
6,7,50
6,8,84
6,9,32
6,10,24
6,11,42
6,12,42
6,13,38
6,14,64
6,15,72
6,16,98
6,17,20
6,18,34
6,19,52
6,20,30
6,21,56
6,22,86
6,23,60
6,24,98
6,25,132
6,26,90
6,27,128
6,28,186
6,29,260
7,0,0
7,1,0
7,2,6
7,3,0
7,4,0
7,5,6
7,6,0
7,8,48
7,9,0
7,10,0
7,11,6
7,12,0
7,13,6
7,14,16
7,15,0
7,16,30
7,17,0
7,18,6
7,19,12
7,20,0
7,21,6
7,22,26
7,23,16
7,24,48
7,25,62
7,26,16
7,27,40
7,28,102
7,29,180
8,0,0
8,1,0
8,2,0
8,3,0
8,4,0
8,5,0
8,6,0
8,7,0
8,9,0
8,10,0
8,11,0
8,12,0
8,13,0
8,14,0
8,15,0
8,16,0
8,17,0
8,18,0
8,19,0
8,20,0
8,21,0
8,22,0
8,23,0
8,24,24
8,25,24
8,26,0
8,27,0
8,28,48
8,29,120
9,0,2
9,1,18
9,2,48
9,3,84
9,4,34
9,5,114
9,6,64
9,7,194
9,8,324
9,10,100
9,11,290
9,12,130
9,13,180
9,14,370
9,15,210
9,16,560
9,17,50
9,18,130
9,19,320
9,20,80
9,21,210
9,22,450
9,23,260
9,24,500
9,25,690
9,26,340
9,27,580
9,28,930
9,29,1280
10,0,2
10,1,12
10,2,48
10,3,36
10,4,28
10,5,88
10,6,64
10,7,174
10,8,324
10,9,80
10,11,152
10,12,104
10,13,138
10,14,260
10,15,180
10,16,416
10,17,44
10,18,112
10,19,224
10,20,80
10,21,190
10,22,378
10,23,234
10,24,434
10,25,614
10,26,330
10,27,552
10,28,888
